movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Percy Jackson & the Olympians: The Lightning Thief,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,"Though it may seem like just another Harry Potter knockoff, Percy Jackson benefits from a strong supporting cast, a speedy plot, and plenty of fun with Greek mythology.",PG,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Chris Columbus,Craig Titley,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Sean Bean, Pierce Brosnan, Steve Coogan, Rosario Dawson, Melina Kanakaredes, Catherine Keener, Kevin Mckidd, Joe Pantoliano, Uma Thurman, Ray Winstone, Julian Richings, Bonita Friedericy, Annie Ilonzeh, Tania Saulnier, Marie Avgeropoulos, Luisa D'Oliveira, Christie Laing, Marielle Jaffe, Elisa King, Chrystal Tisiga, Alexis Knapp, Charlie Gallant, Chelan Simmons, Andrea Brooks, Natassia Malthe, Max Van Ville, Serinda Swan, Dimitri Lekkos, Ona Grauer, Stefanie von Pfetten, Conrad Coates, Erica Cerra, Dylan Neal, Luke Camilleri, Holly Hougham, Ina Geraldine, Raquel Riskin, Yusleidis Oquendo, Janine Edwards, Valerie Tian, Violet Columbus, Sarah Smyth, Merritt Patterson, Julie Luck, Andrea Day, John Stewart, Suzanne Ristic, Deejay Jackson, Matthew Garrick, Stan Carp, Suzanna Ristic, Richard Harmon, Maria Olsen, Robin Lemon, Doyle Devereux, Tom Pickett, VJ Delos-Reyes, Tim Aas, Keith Dallas, Spencer Atkinson, Maya Washington, Loyd Bateman, Victor Ayala, Zane Holtz, Eli Zagoudakis, Matt Reimer, Rob Hayter, Lloyd Bateman, Shawn Beaton, Jarod Joseph, Reilly Dolman, Paul Cummings, Julie Brar, Dejan Loyola, Damian Arman, Mario Casoria, Dorla Bell, Carolyn Adair (II), Jade Pawluk, G. Patrick Currie, Darian Arman, Mariela Zapata, David L. Smith",2010-02-12,2010-06-29,83,20th Century Fox,Rotten,49,144,53,254287
Please Give,"Kate has a lot on her mind. There's the ethics problem of buying furniture on the cheap at estate sales and marking it up at her trendy Manhattan store. And how much markup can she get away with? There's the materialism problem of not wanting her teenage daughter to want the expensive things that Kate wants. There's the marriage problem of sharing a partnership in parenting, business and life with her husband Alex but sensing doubt nibbling at the foundations. And, there's Kate's free-floating 21st century malaise -- the problem of how to live well and be a good person when poverty, homelessness, and sadness are always right outside the door. Plus, there's the neighbors: cranky, elderly Andra and the two granddaughters who look after her.","Nicole Holofcener's newest might seem slight in places, but its rendering of complex characters in a conflicted economic landscape is varied, natural, and touching all the same.",R,Comedy,Nicole Holofcener,Nicole Holofcener,"Catherine Keener, Amanda Peet, Oliver Platt, Rebecca Hall, Sarah Steele, Ann Morgan Guilbert, Kevin Corrigan, Lois Smith",2010-04-30,2010-10-19,90,Sony Pictures Classics,Certified Fresh,86,140,64,11567
10,"Blake Edwards' 10 stars Dudley Moore as George, a Mancini-type songwriter. Approaching middle age, George feels as if life is passing him by, especially his sex life. Despite the presence of longtime lady friend Sam (Julie Andrews) in his life, he becomes obsessed from afar with Jenny (Bo Derek), who is engaged to be married. Following her to Mexico without her knowledge, George arranges a meeting with Jenny by saving the life of her fiancé, David (Sam Jones). Once he has made her acquaintance, George suddenly finds himself faced with the realities of embarking on such an affair. Beyond renewing the popularity of Maurice Ravel's ""Bolero"" and turning Bo Derek into a star, upon its release, 10 was one of the most financially successful Blake Edwards films in years. ~ Matthew Tobey, Rovi",,R,"Comedy, Romance",Blake Edwards,Blake Edwards,"Dudley Moore, Bo Derek, Julie Andrews, Robert Webber, Dee Wallace, Sam Jones III, Sam J. Jones, Brian Dennehy, Max Showalter, Rad Daly, Nedra Volz, James Noble, Virginia Kiser, John Hawker, Deborah Rush, Don Calfa, Walter George Alton, Annette Martin, John Hancock, Lorry Goldman, Arthur Rosenberg, Mari Gorman, Marcy Hanson, Julia Jennings, Senilo Tanney, Kitty DeCarlo, William Lucking, Owen Sullivan, Debbie White, Laurence Carr, Camila Ashland, Adrian Aron, Burke Byrnes, Gail Bowman, Michael Champion, Doug Sheehan, J. Victor Lopez, Gregory Chase, Ellen Clark, Jon Linton, Antonia Ellis, John Chappell, Lynn Farrell, Art Kassul, Denise Crosby, Jeanetta Arnette",1979-10-05,1997-08-27,118,Waner Bros.,Fresh,68,22,53,14670
12 Angry Men (Twelve Angry Men),"A Puerto Rican youth is on trial for murder, accused of knifing his father to death. The twelve jurors retire to the jury room, having been admonished that the defendant is innocent until proven guilty beyond a reasonable doubt. Eleven of the jurors vote for conviction, each for reasons of his own. The sole holdout is Juror #8, played by Henry Fonda. As Fonda persuades the weary jurors to re-examine the evidence, we learn the backstory of each man. Juror #3 (Lee J. Cobb), a bullying self-made man, has estranged himself from his own son. Juror #7 (Jack Warden) has an ingrained mistrust of foreigners; so, to a lesser extent, does Juror #6 (Edward Binns). Jurors #10 (Ed Begley) and #11 (George Voskovec), so certain of the infallibility of the Law, assume that if the boy was arrested, he must be guilty. Juror #4 (E.G. Marshall) is an advocate of dispassionate deductive reasoning. Juror #5 (Jack Klugman), like the defendant a product of ""the streets,"" hopes that his guilty vote will distance himself from his past. Juror #12 (Robert Webber), an advertising man, doesn't understand anything that he can't package and market. And Jurors #1 (Martin Balsam), #2 (John Fiedler) and #9 (Joseph Sweeney), anxious not to make waves, ""go with the flow."" The excruciatingly hot day drags into an even hotter night; still, Fonda chips away at the guilty verdict, insisting that his fellow jurors bear in mind those words ""reasonable doubt."" A pet project of Henry Fonda's, Twelve Angry Men was his only foray into film production; the actor's partner in this venture was Reginald Rose, who wrote the 1954 television play on which the film was based. Carried over from the TV version was director Sidney Lumet, here making his feature-film debut. A flop when it first came out (surprisingly, since it cost almost nothing to make), Twelve Angry Men holds up beautifully when seen today. It was remade for television in 1997 by director William Friedkin with Jack Lemmon and George C. Scott. ~ Hal Erickson, Rovi","Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.",NR,"Classics, Drama",Sidney Lumet,Reginald Rose,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley Sr., George Voskovec, Robert Webber, Rudy Bond, James A. Kelly, Billy Nelson, John Savoca",1957-04-13,2001-03-06,95,Criterion Collection,Certified Fresh,100,51,97,105000
"20,000 Leagues Under The Sea","This 1954 Disney version of Jules Verne's 20,000 Leagues Under the Sea represented the studio's costliest and most elaborate American-filmed effort to date. Kirk Douglas plays a trouble-shooting 19th century seaman, trying to discover why so many whaling ships have been disappearing of late. Teaming with scientist Paul Lukas and diver Peter Lorre, Douglas sets sail to investigate--and is promptly captured by the megalomaniac Captain Nemo (James Mason), who skippers a lavish, scientifically advanced submarine. The film's special effects, including a giant squid, were impressive enough in 1954 to win an Academy Award. ~ Hal Erickson, Rovi","One of Disney's finest live-action adventures, 20,000 Leagues Under the Sea brings Jules Verne's classic sci-fi tale to vivid life, and features an awesome giant squid.",G,"Action & Adventure, Drama, Kids & Family",Richard Fleischer,Earl Felton,"James Mason, Kirk Douglas, Paul Lukas, Peter Lorre, Robert J. Wilke, Carleton Young, Bob Wilke, Ted de Corsia, Percy Helton, Ted Cooper, Eddie Marr, Fred Graham, Esmeralda, J.M. Kerrigan, Harry Harvey, Herb Vigran",1954-01-01,2003-05-20,127,Disney,Fresh,89,27,74,68860
"10,000 B.C.","A young outcast from a primitive tribe is forced to defend his people from a brutal onslaught in Independence Day director Roland Emmerich's fast-paced period adventure. Despite the fact that he is low man on the totem pole in his tribe of fearless hunters, a brave young boy (Steven Strait) longs to win the heart of a beautiful princess (Camilla Belle) who is well above his station in life. When an overwhelming horde of powerful invaders forces the hunters into slavery and abducts the princess, the once-aimless boy suddenly finds his destiny taking an unexpected turn. Now, if he has any hope of saving his tribe from certain extinction, this young boy will have to fight for the future to his dying breath. ~ Jason Buchanan, Rovi","With attention strictly paid to style instead of substance, or historical accuracy, 10,000 B.C. is a visually impressive but narratively flimsy epic.",PG-13,"Action & Adventure, Classics, Drama",Roland Emmerich,"Roland Emmerich, Harald Kloser","Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zainal, Nathanael Baring, Marco Khan, Reece Ritchie, Joel Fry, Junior Oliphant, Louise Tu'u, David Dennis, Kristian Beazley, Mona Hammond, Jacob Renton, Grayson Hunt Urwin, Fahruq Valley-Omar, Boubacar Badaine, Joe Vaz, Charles Baloyi, Tim Barlow, Gabriel Malema, Mark Simmons, Hannah Westbury, Omar Sharif",2008-03-07,2008-06-24,109,Warner Bros. Pictures,Rotten,8,148,37,411087
The 39 Steps,"A man in London tries to help a counterespionage agent. But when the agent is killed and he stands accused, he must go on the run to both save himself and also stop a spy ring trying to steal top secret information.","Packed with twists and turns, this essential early Alfred Hitchcock feature hints at the dazzling heights he'd reach later in his career.",NR,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,"Alma Reville, Charles Bennett, Ian Hay","Robert Donat, Madeleine Carroll, Godfrey Tearle, Lucie Mannheim, Peggy Ashcroft, John Laurie, Helen Haye, Wylie Watson, Frank Cellier, Peggy Simpson, Gus McNaughton, Jerry Verno, Miles Malleson, Marianne Stone",1935-08-01,1935-06-06,87,Gaumont British Distributors,Certified Fresh,96,47,86,23827
3:10 to Yuma,"Desperate for money, frontier rancher Van Heflin holds outlaw Glenn Ford at gunpoint, intending to collect the $200 reward. While both men await the train to Yuma that will escort Ford to prison, the cagey outlaw offers Heflin $10,000 if he'll set Ford free. The rest of the film is a sweat-inducing cat-and-mouse game between captive and captor, interrupted with bursts of violence from both Ford's gang (commandeered by Richard Jaeckel) and the vacillating townsfolk.",,NR,"Classics, Drama, Western",Delmer Daves,Halsted Welles,"Glenn Ford, Van Heflin, Felicia Farr, Leora Dana, Henry Jones, Richard Jaeckel, Robert Emhardt, Sheridan Comerate, George Mitchell, Robert Ellenstein, Ford Rainey, Barry Curtis, Jerry Hartleben, Woodrow Chambliss",1957-08-07,2002-04-02,92,Columbia Pictures,Fresh,96,27,78,9224
Charly (A Heartbeat Away),"Sam Roberts thinks he has all the answers: the purpose of life, the meaning of love, the plan for a perfect future. Until Charly walks into his life.",,PG,"Comedy, Drama, Romance",Adam Thomas Anderegg,"Jack Weyland, Janine Whetton Gilbert","Heather Beers, Gary Neilson, Lisa McCammon, Jackie Winterrose-Fullerup, Jeremy Elliott, Randy King",2002-09-27,2003-08-01,103,Excel Entertainment,Rotten,20,10,87,4819
Abraham Lincoln,"To date, this D.W. Griffith epic is the only talking-picture effort to encapsulate the entire life of Abraham Lincoln, from cradle to grave. The script, credited to Stephen Vincent Benet, manages to include all the familiar high points, including Lincoln's tragic romance with Ann Rutledge (Una Merkel, allegedly cast because of her resemblance to Griffith favorite Lillian Gish), his lawyer days in Illinois, his contentious marriage to Mary Todd (Kay Hammond), his heartbreaking decision to declare war upon the South, his pardoning of a condemned sentry during the Civil War, and his assassination at the hands of John Wilkes Booth (expansively portrayed by Ian Keith). This was D.W. Griffith's first talkie, and the master does his best with the somewhat pedantic dialogue sequences; but as always, Griffith's forte was spectacle and montage, as witness the cross-cut scenes of Yankees and Rebels marching off to war and the pulse-pounding ride of General Sheridan (Frank Campeau) through the Shenandoah Valley. Thanks to the wizardry of production designer William Cameron Menzies, many of the scenes appear far more elaborate than they really were; Menzies can also be credited with the unforgettable finale, as Honest Abe's Kentucky log cabin dissolves to the Lincoln Memorial. As Abraham Lincoln, Walter Huston is a tower of strength, making even the most florid of speeches sound human and credible; only during the protracted death scene of Ann Rutledge does Huston falter, and then the fault is as much Griffith's as his. Road-shown at nearly two hours (including a prologue showing slaves being brought to America), Abraham Lincoln was pared down to 97 minutes by United Artists, and in that length it proved a box-office success, boding well for D.W. Griffith's future in talkies (alas, it proved to be his next-to-last film; Griffith's final effort, The Struggle was a financial disaster).",,NR,"Classics, Drama",D.W. Griffith,"Gerrit J. Lloyd, Stephen Vincent Benét","Walter Huston, Una Merkel, Kay Hammond, Ian Keith, Jason Robards Sr., E. Alyn Warren, Hobart Bosworth, Fred Warren, Henry B. Walthall, Frank Campeau, Francis Ford, William L. Thorne, Lucille La Verne, Helen Freeman, Oscar Apfel, Otto Hoffman, Edgar Dearing, Russell Simpson, Helen Ware, Charles Crockett, Jason Robards Sr., Gordon Thorpe, James Bradbury Sr., Cameron Prud'Homme, James Eagles, Hank Bell, James Bradbury Jr, Carl Stockdale, George MacQuarrie, Ralph Lewis, Mary Forbes, Robert Brower, Henry Kolker, Robert E. Homans",1930-11-08,2008-11-18,97,United Artists,Fresh,90,10,38,455
